PopulationID,PopulationName,num_euploid,num_aneuploid_100,num_aneuploid_90,num_aneuploid_80,num_aneuploid_70,num_aneuploid_60,num_aneuploid_50,num_aneuploid_40,num_aneuploid_30,num_aneuploid_29,num_aneuploid_28,num_aneuploid_27,num_aneuploid_26,num_aneuploid_25,num_aneuploid_24,num_aneuploid_23,num_aneuploid_22,num_aneuploid_21,num_aneuploid_20,num_aneuploid_19,num_aneuploid_18,num_aneuploid_17,num_aneuploid_16,num_aneuploid_15,num_aneuploid_14,num_aneuploid_13,num_aneuploid_12,num_aneuploid_11,num_aneuploid_10,num_aneuploid_09,num_aneuploid_08,num_aneuploid_07,num_aneuploid_06,num_aneuploid_05,num_aneuploid_04,num_aneuploid_03,num_aneuploid_02,num_aneuploid_01
1,Population 1,6240,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Population 2,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240
3,Population 3,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0
4,Population 4,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0
5,Population 5,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0
6,Population 6,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0
7,Population 7,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0
8,Population 8,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0
9,Population 9,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0
10,Population 10,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0
11,Population 11,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0
12,Population 12,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0
13,Population 13,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0
14,Population 14,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0
15,Population 15,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Population 16,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Population 17,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Population 18,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Population 19,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Population 20,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Population 21,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Population 22,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Population 23,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Population 24,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Population 25,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Population 26,0,4088,0,499,0,0,0,0,1033,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Population 27,0,4088,0,499,0,0,0,0,1033,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Population 28,0,4088,0,499,0,0,0,0,1033,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Population 29,0,4088,0,499,0,0,0,0,1033,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Population 30,0,4088,0,499,0,0,0,0,1033,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
